date,retail_and_recreation_percent_change,grocery_and_pharmacy_percent_change,parks_percent_change,transit_stations_percent_change,workplaces_percent_change,residential_percent_change,sum_except_groceries_and_pharmacy
2/15/2020,1,2,3,3,5,0,-2.4
2/16/2020,2,2,3,2,0,0,-1.4
2/17/2020,-1,1,3,1,4,0,-1.4
2/18/2020,0,2,4,2,3,0,-1.8
2/19/2020,0,2,1,1,4,1,-1
2/20/2020,1,3,5,5,4,-1,-3.2
2/21/2020,-4,0,6,-4,-19,5,5.2
2/22/2020,-2,-2,4,-2,-2,1,0.6
2/23/2020,-2,-1,1,0,2,1,0
2/24/2020,-1,0,2,1,4,0,-1.2
2/25/2020,-1,-2,3,1,1,0,-0.8
2/26/2020,0,0,1,3,3,-1,-1.6
2/27/2020,-1,-1,3,1,4,0,-1.4
2/28/2020,0,1,3,1,5,0,-1.8
2/29/2020,-2,-1,-1,0,8,0,-1
3/1/2020,1,4,1,0,3,1,-0.8
3/2/2020,0,2,3,0,5,0,-1.6
3/3/2020,-1,2,3,0,4,0,-1.2
3/4/2020,0,5,1,3,7,0,-2.2
3/5/2020,-1,3,3,2,5,0,-1.8
3/6/2020,-1,2,0,3,5,1,-1.2
3/7/2020,0,6,2,5,7,0,-2.8
3/8/2020,2,9,2,3,6,0,-2.6
3/9/2020,-1,6,4,-6,-12,3,3.6
3/10/2020,-19,-23,-4,-22,-44,11,20
3/11/2020,-5,-1,-2,-1,-5,1,2.8
3/12/2020,-3,1,2,0,0,0,0.2
3/13/2020,-5,1,0,-2,0,1,1.6
3/14/2020,-11,-3,-6,-8,-6,4,7
3/15/2020,-11,-1,-6,-7,2,3,5
3/16/2020,-8,2,-1,-6,-4,3,4.4
3/17/2020,-11,0,-2,-9,-8,3,6.6
3/18/2020,-12,1,-6,-10,-8,4,8
3/19/2020,-16,1,-7,-14,-11,5,10.6
3/20/2020,-22,1,-13,-18,-15,7,15
3/21/2020,-34,-4,-23,-25,-18,8,21.6
3/22/2020,-78,-76,-58,-70,-49,21,55.2
3/23/2020,-54,-27,-35,-52,-50,20,42.2
3/24/2020,-68,-48,-44,-64,-65,25,53.2
3/25/2020,-77,-64,-53,-73,-72,30,61
3/26/2020,-76,-64,-51,-73,-70,30,60
3/27/2020,-77,-64,-52,-73,-70,31,60.6
3/28/2020,-78,-65,-54,-73,-66,29,60
3/29/2020,-77,-65,-57,-71,-47,22,54.8
3/30/2020,-76,-63,-51,-74,-68,30,59.8
3/31/2020,-75,-63,-50,-73,-68,29,59
4/1/2020,-76,-64,-52,-73,-68,29,59.6
4/2/2020,-76,-65,-51,-74,-69,30,60
4/3/2020,-76,-62,-51,-73,-67,30,59.4
4/4/2020,-77,-64,-53,-73,-61,28,58.4
4/5/2020,-77,-65,-56,-71,-43,21,53.6
4/6/2020,-76,-63,-50,-73,-68,30,59.4
4/7/2020,-78,-53,-46,-67,-67,28,57.2
4/8/2020,-78,-52,-48,-68,-67,29,58
